Year,Treatment,Replicate,Station,Source,ANPP g_m2,Disturbed_Microplot,Fertilized_Microplot,meantemp,annualprecip
1989,T7,R1,NA,MCSE Microplot (Table 154),715.75,undisturbed,fertilized,8.00630137,1048.76
1989,T7,R2,NA,MCSE Microplot (Table 154),918.65,undisturbed,unfertilized,8.00630137,1048.76
1989,T7,R3,NA,MCSE Microplot (Table 154),2024.3,undisturbed,fertilized,8.00630137,1048.76
1989,T7,R1,NA,MCSE Microplot (Table 154),962.3,undisturbed,unfertilized,8.00630137,1048.76
1989,T7,R5,NA,MCSE Microplot (Table 154),1120.95,undisturbed,fertilized,8.00630137,1048.76
1989,T7,R5,NA,MCSE Microplot (Table 154),382.75,undisturbed,unfertilized,8.00630137,1048.76
1989,T7,R6,NA,MCSE Microplot (Table 154),893.65,undisturbed,fertilized,8.00630137,1048.76
1989,T7,R2,NA,MCSE Microplot (Table 154),1643.55,undisturbed,fertilized,8.00630137,1048.76
1989,T7,R4,NA,MCSE Microplot (Table 154),1293.9,undisturbed,fertilized,8.00630137,1048.76
1989,T7,R4,NA,MCSE Microplot (Table 154),563.65,undisturbed,unfertilized,8.00630137,1048.76
1989,T7,R3,NA,MCSE Microplot (Table 154),912.7,undisturbed,unfertilized,8.00630137,1048.76
1989,T7,R6,NA,MCSE Microplot (Table 154),599.15,undisturbed,unfertilized,8.00630137,1048.76
1990,T7,R5,NA,MCSE Microplot (Table 154),281.2933333,disturbed,fertilized,9.665753425,1018.74
1990,T7,R4,NA,MCSE Microplot (Table 154),291.04,undisturbed,unfertilized,9.665753425,1018.74
1990,T7,R6,NA,MCSE Microplot (Table 154),278.5,disturbed,fertilized,9.665753425,1018.74
1990,T7,R5,NA,MCSE Microplot (Table 154),420.5666667,disturbed,unfertilized,9.665753425,1018.74
1990,T7,R4,NA,MCSE Microplot (Table 154),223.4,undisturbed,fertilized,9.665753425,1018.74
1990,T7,R5,NA,MCSE Microplot (Table 154),364.9,undisturbed,unfertilized,9.665753425,1018.74
1990,T7,R3,NA,MCSE Microplot (Table 154),458.9733333,undisturbed,fertilized,9.665753425,1018.74
1990,T7,R3,NA,MCSE Microplot (Table 154),336.5333333,undisturbed,unfertilized,9.665753425,1018.74
1990,T7,R5,NA,MCSE Microplot (Table 154),448.2,undisturbed,fertilized,9.665753425,1018.74
1990,T7,R1,NA,MCSE Microplot (Table 154),243.1666667,disturbed,fertilized,9.665753425,1018.74
1990,T7,R1,NA,MCSE Microplot (Table 154),170.7,disturbed,unfertilized,9.665753425,1018.74
1990,T7,R1,NA,MCSE Microplot (Table 154),726.05,undisturbed,fertilized,9.665753425,1018.74
1990,T7,R1,NA,MCSE Microplot (Table 154),414.0333334,undisturbed,unfertilized,9.665753425,1018.74
1990,T7,R2,NA,MCSE Microplot (Table 154),439.3333334,disturbed,fertilized,9.665753425,1018.74
1990,T7,R2,NA,MCSE Microplot (Table 154),222.7,disturbed,unfertilized,9.665753425,1018.74
1990,T7,R2,NA,MCSE Microplot (Table 154),525.06,undisturbed,fertilized,9.665753425,1018.74
1990,T7,R2,NA,MCSE Microplot (Table 154),611.9666666,undisturbed,unfertilized,9.665753425,1018.74
1990,T7,R3,NA,MCSE Microplot (Table 154),305.8333334,disturbed,fertilized,9.665753425,1018.74
1990,T7,R3,NA,MCSE Microplot (Table 154),324.3,disturbed,unfertilized,9.665753425,1018.74
1990,T7,R6,NA,MCSE Microplot (Table 154),887.5666667,undisturbed,fertilized,9.665753425,1018.74
1990,T7,R6,NA,MCSE Microplot (Table 154),774.6166666,undisturbed,unfertilized,9.665753425,1018.74
1990,T7,R4,NA,MCSE Microplot (Table 154),283.9666667,disturbed,fertilized,9.665753425,1018.74
1990,T7,R4,NA,MCSE Microplot (Table 154),259.0333333,disturbed,unfertilized,9.665753425,1018.74
1990,T7,R6,NA,MCSE Microplot (Table 154),360.07,disturbed,unfertilized,9.665753425,1018.74
1991,T7,R1,S1,MCSE (Table 291),228.37,NA,NA,10.29197708,977.37
1991,T7,R1,S2,MCSE (Table 291),746.48,NA,NA,10.29197708,977.37
1991,T7,R1,S3,MCSE (Table 291),378.38,NA,NA,10.29197708,977.37
1991,T7,R1,S4,MCSE (Table 291),432.35,NA,NA,10.29197708,977.37
1991,T7,R1,S5,MCSE (Table 291),321.11,NA,NA,10.29197708,977.37
1991,T7,R2,S3,MCSE (Table 291),252.15,NA,NA,10.29197708,977.37
1991,T7,R2,S4,MCSE (Table 291),321.89,NA,NA,10.29197708,977.37
1991,T7,R2,S5,MCSE (Table 291),307.78,NA,NA,10.29197708,977.37
1991,T7,R3,S1,MCSE (Table 291),309.17,NA,NA,10.29197708,977.37
1991,T7,R3,S2,MCSE (Table 291),354.81,NA,NA,10.29197708,977.37
1991,T7,R3,S3,MCSE (Table 291),190.84,NA,NA,10.29197708,977.37
1991,T7,R3,S4,MCSE (Table 291),541.34,NA,NA,10.29197708,977.37
1991,T7,R3,S5,MCSE (Table 291),561.68,NA,NA,10.29197708,977.37
1991,T7,R4,S2,MCSE (Table 291),302.15,NA,NA,10.29197708,977.37
1991,T7,R4,S3,MCSE (Table 291),273.67,NA,NA,10.29197708,977.37
1991,T7,R4,S4,MCSE (Table 291),245.48,NA,NA,10.29197708,977.37
1991,T7,R4,S5,MCSE (Table 291),359.18,NA,NA,10.29197708,977.37
1991,T7,R5,S1,MCSE (Table 291),429.71,NA,NA,10.29197708,977.37
1991,T7,R5,S2,MCSE (Table 291),430.1,NA,NA,10.29197708,977.37
1991,T7,R5,S3,MCSE (Table 291),73.38,NA,NA,10.29197708,977.37
1991,T7,R5,S4,MCSE (Table 291),164.34,NA,NA,10.29197708,977.37
1991,T7,R5,S5,MCSE (Table 291),556.86,NA,NA,10.29197708,977.37
1991,T7,R6,S1,MCSE (Table 291),443.24,NA,NA,10.29197708,977.37
1991,T7,R6,S2,MCSE (Table 291),557.6,NA,NA,10.29197708,977.37
1991,T7,R6,S3,MCSE (Table 291),263.18,NA,NA,10.29197708,977.37
1991,T7,R6,S4,MCSE (Table 291),488.4,NA,NA,10.29197708,977.37
1991,T7,R6,S5,MCSE (Table 291),798.27,NA,NA,10.29197708,977.37
1991,T7,R1,NA,MCSE Microplot (Table 154),1658.966667,disturbed,fertilized,10.29197708,977.37
1991,T7,R1,NA,MCSE Microplot (Table 154),603.6333333,disturbed,unfertilized,10.29197708,977.37
1991,T7,R1,NA,MCSE Microplot (Table 154),2134.9,undisturbed,fertilized,10.29197708,977.37
1991,T7,R1,NA,MCSE Microplot (Table 154),530.9,undisturbed,unfertilized,10.29197708,977.37
1991,T7,R2,NA,MCSE Microplot (Table 154),1967.8,disturbed,fertilized,10.29197708,977.37
1991,T7,R2,NA,MCSE Microplot (Table 154),1042.866667,disturbed,unfertilized,10.29197708,977.37
1991,T7,R2,NA,MCSE Microplot (Table 154),919.2166667,undisturbed,fertilized,10.29197708,977.37
1991,T7,R2,NA,MCSE Microplot (Table 154),1468.9,undisturbed,unfertilized,10.29197708,977.37
1991,T7,R3,NA,MCSE Microplot (Table 154),1547.633333,disturbed,fertilized,10.29197708,977.37
1991,T7,R3,NA,MCSE Microplot (Table 154),806.6666666,disturbed,unfertilized,10.29197708,977.37
1991,T7,R3,NA,MCSE Microplot (Table 154),857.0666667,undisturbed,fertilized,10.29197708,977.37
1991,T7,R3,NA,MCSE Microplot (Table 154),951.4000001,undisturbed,unfertilized,10.29197708,977.37
1991,T7,R4,NA,MCSE Microplot (Table 154),1302.566667,disturbed,fertilized,10.29197708,977.37
1991,T7,R4,NA,MCSE Microplot (Table 154),796.3999999,disturbed,unfertilized,10.29197708,977.37
1991,T7,R4,NA,MCSE Microplot (Table 154),528.7666667,undisturbed,fertilized,10.29197708,977.37
1991,T7,R4,NA,MCSE Microplot (Table 154),806.2333334,undisturbed,unfertilized,10.29197708,977.37
1991,T7,R5,NA,MCSE Microplot (Table 154),2371.8,disturbed,fertilized,10.29197708,977.37
1991,T7,R5,NA,MCSE Microplot (Table 154),1190.666667,disturbed,unfertilized,10.29197708,977.37
1991,T7,R5,NA,MCSE Microplot (Table 154),703.5666667,undisturbed,fertilized,10.29197708,977.37
1991,T7,R5,NA,MCSE Microplot (Table 154),366.9333333,undisturbed,unfertilized,10.29197708,977.37
1991,T7,R6,NA,MCSE Microplot (Table 154),973.5000001,disturbed,fertilized,10.29197708,977.37
1991,T7,R6,NA,MCSE Microplot (Table 154),1092.833333,disturbed,unfertilized,10.29197708,977.37
1991,T7,R6,NA,MCSE Microplot (Table 154),677.4666666,undisturbed,fertilized,10.29197708,977.37
1991,T7,R6,NA,MCSE Microplot (Table 154),1431.1,undisturbed,unfertilized,10.29197708,977.37
1992,T7,R6,S1,MCSE (Table 291),184.8,NA,NA,8.501120448,842.44
1992,T7,R6,S2,MCSE (Table 291),0.32,NA,NA,8.501120448,842.44
1992,T7,R1,NA,MCSE Microplot (Table 154),633.97,undisturbed,fertilized,8.501120448,842.44
1992,T7,R1,NA,MCSE Microplot (Table 154),135.83,undisturbed,unfertilized,8.501120448,842.44
1992,T7,R2,NA,MCSE Microplot (Table 154),742.52,disturbed,fertilized,8.501120448,842.44
1992,T7,R2,NA,MCSE Microplot (Table 154),283.18,disturbed,unfertilized,8.501120448,842.44
1992,T7,R2,NA,MCSE Microplot (Table 154),307.89,undisturbed,fertilized,8.501120448,842.44
1992,T7,R2,NA,MCSE Microplot (Table 154),553.07,undisturbed,unfertilized,8.501120448,842.44
1992,T7,R3,NA,MCSE Microplot (Table 154),446.12,disturbed,fertilized,8.501120448,842.44
1992,T7,R3,NA,MCSE Microplot (Table 154),316.15,disturbed,unfertilized,8.501120448,842.44
1992,T7,R3,NA,MCSE Microplot (Table 154),250.1,undisturbed,fertilized,8.501120448,842.44
1992,T7,R3,NA,MCSE Microplot (Table 154),367,undisturbed,unfertilized,8.501120448,842.44
1992,T7,R4,NA,MCSE Microplot (Table 154),790.42,disturbed,fertilized,8.501120448,842.44
1992,T7,R4,NA,MCSE Microplot (Table 154),220.73,disturbed,unfertilized,8.501120448,842.44
1992,T7,R4,NA,MCSE Microplot (Table 154),543.31,undisturbed,fertilized,8.501120448,842.44
1992,T7,R4,NA,MCSE Microplot (Table 154),139.55,undisturbed,unfertilized,8.501120448,842.44
1992,T7,R1,S1,MCSE (Table 291),129.16,NA,NA,8.501120448,842.44
1992,T7,R1,S2,MCSE (Table 291),100.19,NA,NA,8.501120448,842.44
1992,T7,R1,S3,MCSE (Table 291),152.14,NA,NA,8.501120448,842.44
1992,T7,R1,S4,MCSE (Table 291),113.42,NA,NA,8.501120448,842.44
1992,T7,R1,S5,MCSE (Table 291),272.96,NA,NA,8.501120448,842.44
1992,T7,R2,S1,MCSE (Table 291),264.27,NA,NA,8.501120448,842.44
1992,T7,R2,S2,MCSE (Table 291),160.06,NA,NA,8.501120448,842.44
1992,T7,R2,S3,MCSE (Table 291),64.92,NA,NA,8.501120448,842.44
1992,T7,R2,S4,MCSE (Table 291),94.78,NA,NA,8.501120448,842.44
1992,T7,R2,S5,MCSE (Table 291),76.84,NA,NA,8.501120448,842.44
1992,T7,R3,S1,MCSE (Table 291),339.29,NA,NA,8.501120448,842.44
1992,T7,R3,S2,MCSE (Table 291),329.16,NA,NA,8.501120448,842.44
1992,T7,R3,S3,MCSE (Table 291),100.69,NA,NA,8.501120448,842.44
1992,T7,R3,S4,MCSE (Table 291),361.7,NA,NA,8.501120448,842.44
1992,T7,R3,S5,MCSE (Table 291),232.8,NA,NA,8.501120448,842.44
1992,T7,R4,S1,MCSE (Table 291),233.25,NA,NA,8.501120448,842.44
1992,T7,R4,S2,MCSE (Table 291),231.91,NA,NA,8.501120448,842.44
1992,T7,R4,S3,MCSE (Table 291),151.72,NA,NA,8.501120448,842.44
1992,T7,R4,S4,MCSE (Table 291),226.47,NA,NA,8.501120448,842.44
