Year,Treatment,Station,Replicate,Source,Campaign,Date,Species,Fraction,biomass_g_m2,anpp_total,Pseudo_PercCover,Disturbed_Microplot,Fertilized_Microplot,Method,area_sampled,meantemp,annualprecip
1989,T7,NA,R1,MCSE Microplot (Table 154),NA,9/15/89,Panicum dichotomiflorum Michx.,NA,2.1,715.75,0.293398533,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R1,MCSE Microplot (Table 154),NA,9/15/89,Chenopodium album L.,NA,419.05,715.75,58.54697869,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R1,MCSE Microplot (Table 154),NA,9/15/89,Conyza canadensis (L.) Cronq.,NA,0.95,715.75,0.132727908,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R1,MCSE Microplot (Table 154),NA,9/15/89,Taraxacum officinale Weber in,NA,0.25,715.75,0.034928397,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R4,MCSE Microplot (Table 154),NA,9/15/89,Panicum dichotomiflorum Michx.,NA,523.3,1293.9,40.44362006,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R4,MCSE Microplot (Table 154),NA,7/15/89,Standing Dead,NA,9.85,1293.9,0.761264394,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R4,MCSE Microplot (Table 154),NA,7/15/89,Panicum dichotomiflorum Michx.,NA,80.7,1293.9,6.236958034,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R5,MCSE Microplot (Table 154),NA,9/15/89,Panicum dichotomiflorum Michx.,NA,51.55,1120.95,4.598777822,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R1,MCSE Microplot (Table 154),NA,9/15/89,Amaranthus retroflexus L.,NA,293.4,715.75,40.99196647,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R2,MCSE Microplot (Table 154),NA,7/15/89,Digitaria sanguinalis (L.) Scop.,NA,13.05,1643.55,0.79401296,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R2,MCSE Microplot (Table 154),NA,9/15/89,Amaranthus retroflexus L.,NA,632.2,1643.55,38.46551672,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R2,MCSE Microplot (Table 154),NA,7/15/89,Panicum dichotomiflorum Michx.,NA,0.75,1643.55,0.045632929,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R2,MCSE Microplot (Table 154),NA,9/15/89,Chenopodium album L.,NA,51.3,1643.55,3.121292325,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R2,MCSE Microplot (Table 154),NA,9/15/89,Apocynum cannabinum L.,NA,13.1,1643.55,0.797055155,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R2,MCSE Microplot (Table 154),NA,7/15/89,Potentilla recta L.,NA,0.15,1643.55,0.009126586,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R2,MCSE Microplot (Table 154),NA,7/15/89,Conyza bonariensis (L.) Cronq.,NA,0.15,1643.55,0.009126586,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R2,MCSE Microplot (Table 154),NA,7/15/89,Ambrosia artemisiifolia L.,NA,184.7,1643.55,11.23786925,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R2,MCSE Microplot (Table 154),NA,7/15/89,Veronica peregrina L.,NA,0.3,1643.55,0.018253171,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R2,MCSE Microplot (Table 154),NA,7/15/89,Trifolium hybridum L. (*),NA,0.25,1643.55,0.015210976,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R2,MCSE Microplot (Table 154),NA,7/15/89,Apocynum cannabinum L.,NA,0.75,1643.55,0.045632929,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R2,MCSE Microplot (Table 154),NA,7/15/89,Panicum capillare L.,NA,0.3,1643.55,0.018253171,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R2,MCSE Microplot (Table 154),NA,7/15/89,Amaranthus retroflexus L.,NA,671.1,1643.55,40.83234462,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R2,MCSE Microplot (Table 154),NA,9/15/89,Potentilla norvegica L.,NA,8.55,1643.55,0.520215387,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R2,MCSE Microplot (Table 154),NA,7/15/89,Abutilon theophrasti Medikus,NA,66.9,1643.55,4.070457242,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R3,MCSE Microplot (Table 154),NA,7/15/89,Amaranthus retroflexus L.,NA,1104,2024.3,54.53737094,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R3,MCSE Microplot (Table 154),NA,7/15/89,Potentilla recta L.,NA,0.15,2024.3,0.007409969,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R3,MCSE Microplot (Table 154),NA,7/15/89,Apocynum cannabinum L.,NA,0.3,2024.3,0.014819938,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R3,MCSE Microplot (Table 154),NA,7/15/89,Chenopodium album L.,NA,4.5,2024.3,0.222299066,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R3,MCSE Microplot (Table 154),NA,7/15/89,Abutilon theophrasti Medikus,NA,132.2,2024.3,6.530652571,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R3,MCSE Microplot (Table 154),NA,9/15/89,Amaranthus retroflexus L.,NA,600.45,2024.3,29.66210542,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R3,MCSE Microplot (Table 154),NA,9/15/89,Apocynum cannabinum L.,NA,2.95,2024.3,0.145729388,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R3,MCSE Microplot (Table 154),NA,9/15/89,Abutilon theophrasti Medikus,NA,147.05,2024.3,7.26423949,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R3,MCSE Microplot (Table 154),NA,7/15/89,Panicum dichotomiflorum Michx.,NA,6.7,2024.3,0.33097861,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R3,MCSE Microplot (Table 154),NA,9/15/89,Panicum dichotomiflorum Michx.,NA,11.5,2024.3,0.568097614,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R3,MCSE Microplot (Table 154),NA,9/15/89,Glycine max L. (*),NA,14.5,2024.3,0.716296992,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R4,MCSE Microplot (Table 154),NA,7/15/89,Amaranthus albus L.,NA,41.5,1293.9,3.207357601,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R4,MCSE Microplot (Table 154),NA,7/15/89,Amaranthus retroflexus L.,NA,251.6,1293.9,19.44508849,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R4,MCSE Microplot (Table 154),NA,9/15/89,Potentilla norvegica L.,NA,2.25,1293.9,0.173892882,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R4,MCSE Microplot (Table 154),NA,9/15/89,Amaranthus retroflexus L.,NA,11.5,1293.9,0.888785841,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R4,MCSE Microplot (Table 154),NA,9/15/89,Apocynum cannabinum L.,NA,6.65,1293.9,0.513950073,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R4,MCSE Microplot (Table 154),NA,9/15/89,Abutilon theophrasti Medikus,NA,50.75,1293.9,3.92225056,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R4,MCSE Microplot (Table 154),NA,7/15/89,Abutilon theophrasti Medikus,NA,149,1293.9,11.51557307,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R4,MCSE Microplot (Table 154),NA,7/15/89,Chenopodium album L.,NA,63.3,1293.9,4.892186413,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R4,MCSE Microplot (Table 154),NA,7/15/89,Unknown,NA,103.5,1293.9,7.999072571,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R6,MCSE Microplot (Table 154),NA,7/15/89,Chenopodium album L.,NA,19.5,599.15,3.254610698,undisturbed,unfertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R6,MCSE Microplot (Table 154),NA,7/15/89,Mollugo verticillata L.,NA,35.15,599.15,5.866644413,undisturbed,unfertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R6,MCSE Microplot (Table 154),NA,9/15/89,Abutilon theophrasti Medikus,NA,34.4,599.15,5.741467078,undisturbed,unfertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R2,MCSE Microplot (Table 154),NA,7/15/89,Panicum capillare L.,NA,6.45,918.65,0.702117237,undisturbed,unfertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R5,MCSE Microplot (Table 154),NA,9/15/89,Stellaria media (L.) Vill.,NA,1.3,1120.95,0.115973059,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
1989,T7,NA,R5,MCSE Microplot (Table 154),NA,7/15/89,Amaranthus albus L.,NA,0.5,1120.95,0.044605023,undisturbed,fertilized,sorted_to_species,0.2,8.00630137,1048.76
