DATACODE,RECTYPE,RECYEAR,RECMONTH,RECDAY,WATERSHED,SOILTYPE,TRANSECT,PLOTNUM,LVGRASS,FORBS,CUYRDEAD,PRYRDEAD,WOODY,COMMENTS
PAB04,1,1984,9,15,001c,tu,a,1,21.96,7.21,15.55,,,all live grass and
PAB04,1,1984,9,15,001c,tu,a,2,24.61,1.14,14.35,,,current year dead
PAB04,1,1984,9,15,001c,tu,a,3,34.35,1.75,17.33,,,should be combined
PAB04,1,1984,9,15,001c,tu,a,4,20.34,1.66,18.32,,,prior to analysis
PAB04,1,1984,9,15,001c,tu,a,5,25.06,0.79,16.75,,,due to mold
PAB04,1,1984,9,15,001c,tu,b,1,21.32,11.73,13.72,,,
PAB04,1,1984,9,15,001c,tu,b,2,13.98,0,18.43,,,
PAB04,1,1984,9,15,001c,tu,b,3,8.89,8.43,11.07,,,
PAB04,1,1984,9,15,001c,tu,b,4,12.99,5.88,23.41,,,
PAB04,1,1984,9,15,001c,tu,b,5,19.69,0.96,17.38,,,
PAB04,1,1984,9,15,001c,tu,c,1,15.76,14.15,20.82,,,
PAB04,1,1984,9,15,001c,tu,c,2,7.38,0,16.26,,,
PAB04,1,1984,9,15,001c,tu,c,3,15.08,9.13,13.67,,,
PAB04,1,1984,9,15,001c,tu,c,4,22.39,4.37,28.05,,,
PAB04,1,1984,9,15,001c,tu,c,5,46.9,4.52,,,,
PAB04,1,1984,9,15,001c,tu,d,1,21.27,0,25.43,,,
PAB04,1,1984,9,15,001c,tu,d,2,22.36,0.22,12.33,,,
PAB04,1,1984,9,15,001c,tu,d,3,17.98,12.32,18.01,,,
PAB04,1,1984,9,15,001c,tu,d,4,26.1,1.58,21.37,,,
PAB04,1,1984,9,15,001c,tu,d,5,16.97,9.83,18.91,,,
PAB04,1,1984,9,15,001c,fl,a,1,25.38,11.44,25.85,,,
PAB04,1,1984,9,15,001c,fl,a,2,20.25,6.83,14.73,,,
PAB04,1,1984,9,15,001c,fl,a,3,9.72,5.6,9.75,,,
PAB04,1,1984,9,15,001c,fl,a,4,22.12,9.71,15.48,,,
PAB04,1,1984,9,15,001c,fl,a,5,10.25,10.09,18.69,,,
PAB04,1,1984,9,15,001c,fl,b,1,15.79,0.24,13.32,,,
PAB04,1,1984,9,15,001c,fl,b,2,3.43,24.27,4.32,,,
PAB04,1,1984,9,15,001c,fl,b,3,11.47,1.85,9.57,,,
PAB04,1,1984,9,15,001c,fl,b,4,16.13,5.9,13.87,,,
PAB04,1,1984,9,15,001c,fl,b,5,21.17,7.81,13.12,,,
PAB04,1,1984,9,15,001c,fl,c,1,11.51,3.74,11.63,,,
PAB04,1,1984,9,15,001c,fl,c,2,12.27,8.25,14.84,,,
PAB04,1,1984,9,15,001c,fl,c,3,21.13,1.79,19.96,,,
PAB04,1,1984,9,15,001c,fl,c,4,8.04,2.87,15.08,,,
PAB04,1,1984,9,15,001c,fl,c,5,10.24,2.32,15.83,,,
PAB04,1,1984,9,15,001c,fl,d,1,14.77,0.46,11.27,,,
PAB04,1,1984,9,15,001c,fl,d,2,8.64,0,9.58,,,
PAB04,1,1984,9,15,001c,fl,d,3,6.64,0,11.87,,,
PAB04,1,1984,9,15,001c,fl,d,4,7.61,1.79,21.6,,,
PAB04,1,1984,9,15,001c,fl,d,5,8.31,4.96,12.69,,,
PAB04,1,1984,9,15,n04d,fl,a,1,4.85,6.24,20.66,46.71,,
PAB04,1,1984,9,15,n04d,fl,a,2,5.72,3.32,6.19,84.45,,
PAB04,1,1984,9,15,n04d,fl,a,3,8.65,9.32,8.95,65.83,,
PAB04,1,1984,9,15,n04d,fl,a,4,2.71,19.18,7.33,42.05,,
PAB04,1,1984,9,15,n04d,fl,a,5,12.56,0,21.03,59.73,,
PAB04,1,1984,9,15,n04d,fl,b,1,3.02,7.82,15.48,22.88,,
PAB04,1,1984,9,15,n04d,fl,b,2,,7.26,11.77,58.43,,live and current year
PAB04,1,1984,9,15,n04d,fl,b,3,2.96,9.66,5.68,57.12,,dead combined
PAB04,1,1984,9,15,n04d,fl,b,4,7.65,26.24,14.44,77.47,,
PAB04,1,1984,9,15,n04d,fl,b,5,6.39,23.2,17.41,53.52,,
PAB04,1,1984,9,15,n04d,fl,c,1,12.56,3.1,20.54,79.89,,
PAB04,1,1984,9,15,n04d,fl,c,2,11.8,2.86,16.33,81.33,,
PAB04,1,1984,9,15,n04d,fl,c,3,15.31,9.05,19.94,75.41,,
PAB04,1,1984,9,15,n04d,fl,c,4,5.46,7.68,26.67,64.37,,
PAB04,1,1984,9,15,n04d,fl,c,5,17.86,17.86,21.6,87.85,,
PAB04,1,1984,9,15,n04d,fl,d,1,7,3.86,26.94,37.74,,
PAB04,1,1984,9,15,n04d,fl,d,2,8.47,17.42,22.62,48.47,,
PAB04,1,1984,9,15,n04d,fl,d,3,11.27,6.67,21.23,120.26,,
PAB04,1,1984,9,15,n04d,fl,d,4,5.53,10.11,7.77,56.73,,
PAB04,1,1984,9,15,n04d,fl,d,5,0.59,1.52,17.09,75.86,,
PAB04,1,1984,9,15,n04d,tu,a,1,0.15,27.83,0.14,33.33,,
PAB04,1,1984,9,15,n04d,tu,a,2,,,,64.08,,
PAB04,1,1984,9,15,n04d,tu,a,3,11.91,10.19,14.03,75.1,,
PAB04,1,1984,9,15,n04d,tu,a,4,0.25,34.75,17.37,115.81,,
PAB04,1,1984,9,15,n04d,tu,a,5,2.65,20.44,4.86,128.19,,
PAB04,1,1984,9,15,n04d,tu,b,1,7.13,1.02,24.65,,,
PAB04,1,1984,9,15,n04d,tu,b,2,4.93,14.19,15.45,76.72,,
PAB04,1,1984,9,15,n04d,tu,b,3,,,,,,
PAB04,1,1984,9,15,n04d,tu,b,4,4.88,3.15,11.95,58.78,,
PAB04,1,1984,9,15,n04d,tu,b,5,2.21,0,14.47,37.97,,
PAB04,1,1984,9,15,n04d,tu,c,1,8.2,3.86,9.66,118.66,,
PAB04,1,1984,9,15,n04d,tu,c,2,2.59,40.11,5.3,92.99,,
PAB04,1,1984,9,15,n04d,tu,c,3,14.99,0,37.61,48.79,,
