DATACODE,RECTYPE,RECYEAR,RECMONTH,RECDAY,WATERSHED,GRAZE,CAGE,PLOTNUM,LVGRASS,FORBS,CUYRDEAD,PRYRDEAD,WOODY,COMMENT
PEB01,1,1992,8,20,n01a,u,1,1,26.80,10.30,0.00,0.00,0.00,for all plots in 1992
PEB01,1,1992,8,20,n01a,u,1,2,33.10,0.20,0.00,0.00,0.00,grass=live+cur. dead components
PEB01,1,1992,8,20,n01a,u,1,3,69.30,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,u,1,4,45.80,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,u,1,5,7.30,20.40,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,u,1,6,40.20,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,u,1,7,53.40,1.00,0.00,0.00,0.50,
PEB01,1,1992,8,20,n01a,u,1,8,44.00,2.30,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,u,1,9,64.50,0.20,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,g,1,1,44.30,2.20,0.00,0.00,0.20,
PEB01,1,1992,8,20,n01a,g,1,2,66.70,0.90,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,g,1,3,60.60,0.80,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,g,1,4,41.50,5.60,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,g,1,5,48.20,14.50,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,g,1,6,44.10,4.50,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,g,1,7,68.80,3.50,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,g,1,8,58.30,9.40,0.00,0.00,1.00,
PEB01,1,1992,8,20,n01a,g,1,9,40.50,6.10,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,u,2,1,58.90,1.20,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,u,2,2,103.20,0.00,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,u,2,3,57.30,11.70,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,u,2,4,45.80,6.60,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,u,2,5,47.80,1.00,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,u,2,6,48.60,1.50,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,u,2,7,51.80,7.60,0.00,0.00,0.00,
PEB01,1,1992,8,20,n01a,u,2,8,38.10,1.60,0.00,0.00,0.00,
